업종별(1),업종별(2),지역별(1),2016,2017,2018,2019,2020
서비스업, 도매 및 소매업,울산,5619,5717,5645,5890,6367
서비스업, 도매 및 소매업,세종,1260,1416,1509,1955,2352
서비스업, 도매 및 소매업,경기,75898,76459,79511,89221,113227
서비스업, 도매 및 소매업,강원,7723,7514,7452,7922,8652
서비스업, 도매 및 소매업,충북,8734,8554,8561,9120,9781
서비스업, 도매 및 소매업,충남,11327,11494,11416,12213,13634
서비스업, 도매 및 소매업,전북,10897,10677,11257,10915,10942
서비스업, 도매 및 소매업,전남,9878,9999,9342,10112,10404
서비스업, 도매 및 소매업,경북,13288,13826,13583,14094,14655
서비스업, 도매 및 소매업,경남,16859,17169,17120,17854,19464
서비스업, 도매 및 소매업,제주,3705,3793,4033,4112,4655
서비스업, 운수 및 창고업,소계,63849,62593,62685,62854,61463
서비스업, 운수 및 창고업,서울,10340,10418,10375,10127,10025
서비스업, 운수 및 창고업,부산,4668,4373,4428,4870,4513
서비스업, 운수 및 창고업,대구,2892,2684,2652,2714,2537
서비스업, 운수 및 창고업,인천,3881,3979,4060,4058,3982
서비스업, 운수 및 창고업,광주,1846,1936,2006,2267,2131
서비스업, 운수 및 창고업,대전,1622,1694,1595,1838,1721
서비스업, 운수 및 창고업,울산,1334,1229,1152,1140,1032
서비스업, 운수 및 창고업,세종,267,261,281,189,254
서비스업, 운수 및 창고업,경기,18483,18363,18738,18237,18384
서비스업, 운수 및 창고업,강원,1179,1251,1241,1245,1335
서비스업, 운수 및 창고업,충북,1983,1886,1823,1780,1700
서비스업, 운수 및 창고업,충남,2709,2655,2563,2472,2438
서비스업, 운수 및 창고업,전북,2210,2039,2088,1905,1941
서비스업, 운수 및 창고업,전남,2789,2611,2375,2564,2616
서비스업, 운수 및 창고업,경북,3471,3157,3179,3112,2845
서비스업, 운수 및 창고업,경남,3441,3380,3493,3453,3300
서비스업, 운수 및 창고업,제주,734,677,636,883,709
서비스업, 숙박 및 음식점업,소계,191472,187221,182788,185116,166548
서비스업, 숙박 및 음식점업,서울,29962,29288,27951,27665,24981
서비스업, 숙박 및 음식점업,부산,12169,11954,11357,11763,10660
서비스업, 숙박 및 음식점업,대구,8947,8548,8224,8539,7315
서비스업, 숙박 및 음식점업,인천,9779,9447,9379,9567,8958
서비스업, 숙박 및 음식점업,광주,5793,5935,5685,5881,5161
서비스업, 숙박 및 음식점업,대전,5784,5584,5382,5406,4818
서비스업, 숙박 및 음식점업,울산,5089,4907,4610,4647,4278
서비스업, 숙박 및 음식점업,세종,945,1068,1198,1236,1079
서비스업, 숙박 및 음식점업,경기,41471,40162,40295,41776,38076
서비스업, 숙박 및 음식점업,강원,8314,8248,7983,7994,6914
서비스업, 숙박 및 음식점업,충북,7335,7127,6979,7193,6213
서비스업, 숙박 및 음식점업,충남,9056,8859,9025,8779,7926
서비스업, 숙박 및 음식점업,전북,7035,6921,6743,7058,6090
서비스업, 숙박 및 음식점업,전남,7436,7511,7075,7131,6563
서비스업, 숙박 및 음식점업,경북,11862,11765,11060,11104,9897
서비스업, 숙박 및 음식점업,경남,15490,14731,14517,14154,12947
서비스업, 숙박 및 음식점업,제주,5005,5166,5325,5223,4672
서비스업, 정보통신업,소계,22409,23969,28751,30336,36760
서비스업, 정보통신업,서울,10227,9893,11272,11296,12439
서비스업, 정보통신업,부산,772,735,822,890,977
서비스업, 정보통신업,대구,544,537,597,630,607
서비스업, 정보통신업,인천,932,908,1028,1392,1455
서비스업, 정보통신업,광주,380,328,439,411,453
서비스업, 정보통신업,대전,543,498,605,634,808
서비스업, 정보통신업,울산,174,168,229,193,205
서비스업, 정보통신업,세종,85,116,143,170,211
서비스업, 정보통신업,경기,6359,8534,10727,11814,15725
서비스업, 정보통신업,강원,288,258,308,386,1074
서비스업, 정보통신업,충북,272,231,330,312,332
서비스업, 정보통신업,충남,342,348,434,414,518
서비스업, 정보통신업,전북,282,268,331,340,404
서비스업, 정보통신업,전남,208,214,326,312,302
서비스업, 정보통신업,경북,383,357,455,437,444
서비스업, 정보통신업,경남,455,387,477,487,560
서비스업, 정보통신업,제주,163,189,228,218,246
서비스업, 금융 및 보험업,소계,7070,7238,7082,7739,8245
서비스업, 금융 및 보험업,서울,4183,4362,4415,4760,4935
서비스업, 금융 및 보험업,부산,285,321,274,314,365
서비스업, 금융 및 보험업,대구,217,177,198,235,239
서비스업, 금융 및 보험업,인천,275,248,248,269,309
서비스업, 금융 및 보험업,광주,170,165,153,173,191
서비스업, 금융 및 보험업,대전,116,92,96,136,142
서비스업, 금융 및 보험업,울산,71,75,71,54,72
서비스업, 금융 및 보험업,세종,19,13,18,25,18
서비스업, 금융 및 보험업,경기,983,1077,959,1060,1199
서비스업, 금융 및 보험업,강원,94,81,78,77,83
서비스업, 금융 및 보험업,충북,83,89,64,68,81
서비스업, 금융 및 보험업,충남,107,84,85,110,122
서비스업, 금융 및 보험업,전북,96,98,102,85,116
서비스업, 금융 및 보험업,전남,67,75,66,76,73
서비스업, 금융 및 보험업,경북,110,113,86,112,127
서비스업, 금융 및 보험업,경남,139,135,129,146,126
서비스업, 금융 및 보험업,제주,55,33,40,39,47
서비스업, 부동산업,소계,265827,304573,366961,279797,437853
서비스업, 부동산업,서울,55647,63947,100435,68004,101290
서비스업, 부동산업,부산,15223,18070,19198,15148,26874
서비스업, 부동산업,대구,8882,9336,10346,8779,14454
서비스업, 부동산업,인천,17460,24824,27096,25005,38871
서비스업, 부동산업,광주,4864,5336,7045,5836,10504
서비스업, 부동산업,대전,4759,5854,6676,6420,11960
서비스업, 부동산업,울산,4530,5232,4001,3602,6553
서비스업, 부동산업,세종,5186,5212,4138,2635,4194
서비스업, 부동산업,경기,90610,107374,129574,96613,138947
서비스업, 부동산업,강원,7383,7519,7694,6047,11586
서비스업, 부동산업,충북,5348,5607,5655,4753,9612
서비스업, 부동산업,충남,8144,8922,9188,8445,14244
서비스업, 부동산업,전북,4104,4904,5580,5404,8675
서비스업, 부동산업,전남,4985,5042,6175,5548,9519
서비스업, 부동산업,경북,8081,8013,7568,5759,10074
서비스업, 부동산업,경남,13797,13020,10575,8204,15035
서비스업, 부동산업,제주,6824,6361,6017,3595,5461
서비스업," 전문, 과학 및 기술 서비스업",소계,35185,37061,40455,46413,54411
서비스업," 전문, 과학 및 기술 서비스업",서울,14119,14545,15165,16752,17826
서비스업," 전문, 과학 및 기술 서비스업",부산,1933,1967,1929,2142,2326
서비스업," 전문, 과학 및 기술 서비스업",대구,1095,1154,1171,1308,1508
서비스업," 전문, 과학 및 기술 서비스업",인천,1471,1572,1734,2126,2292
서비스업," 전문, 과학 및 기술 서비스업",광주,805,983,1141,1266,1351
서비스업," 전문, 과학 및 기술 서비스업",대전,861,845,975,1116,1226
서비스업," 전문, 과학 및 기술 서비스업",울산,750,642,633,604,601
서비스업," 전문, 과학 및 기술 서비스업",세종,158,168,246,393,365
서비스업," 전문, 과학 및 기술 서비스업",경기,7941,8859,11015,13336,18598
서비스업," 전문, 과학 및 기술 서비스업",강원,511,570,565,685,784
서비스업," 전문, 과학 및 기술 서비스업",충북,554,584,659,707,883
서비스업," 전문, 과학 및 기술 서비스업",충남,711,793,809,943,1277
서비스업," 전문, 과학 및 기술 서비스업",전북,701,716,770,896,1144
서비스업," 전문, 과학 및 기술 서비스업",전남,520,587,696,935,879
서비스업," 전문, 과학 및 기술 서비스업",경북,779,797,858,931,1031
서비스업," 전문, 과학 및 기술 서비스업",경남,1861,1704,1587,1741,1743
서비스업," 전문, 과학 및 기술 서비스업",제주,415,575,502,532,577
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",소계,31780,36193,38552,44342,47070
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",서울,6069,6977,7001,8159,9025
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",부산,2181,2452,2402,2704,2814
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",대구,1339,1481,1663,1762,1709
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",인천,1869,2113,2270,2649,3001
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",광주,809,849,965,1036,1195
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",대전,963,1030,1079,1148,1130
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",울산,780,874,894,926,922
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",세종,164,231,247,281,268
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",경기,8256,9658,10907,12984,14559
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",강원,718,858,917,1099,1192
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",충북,941,1080,1297,1466,1345
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",충남,1219,1681,1765,1809,2024
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",전북,836,876,942,1274,1210
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",전남,704,871,1151,1148,1298
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",경북,1476,1633,1612,1822,1756
