여성,제조업,14827,2611,854,4137,250,257,444,578,47,310,382,436,701,1024,897,351,1449,99,14248,2451,775,3922,278,245,421,546,51,330,419,404,687,968,935,308,1402,106,13993,2412,723,4043,261,227,375,581,48,305,415,414,704,940,835,295,1302,113,13877,2479,768,3956,290,234,443,614,72,336,379,439,665,902,797,263,1106,134,12696,2085,694,3832,242,230,376,548,51,279,391,381,572,834,697,258,1103,123
여성,전기·가스·수도업,836,3,3,18,28,6,37,128,3,31,241,194,9,85,10,-,30,10,1068,8,4,46,53,8,50,150,1,34,275,219,8,136,6,4,46,20,2621,22,7,80,148,5,77,301,4,43,881,639,15,267,10,10,94,18,4279,33,11,196,244,11,175,535,8,64,1531,800,24,407,11,14,170,45,4562,30,11,156,221,16,184,565,14,73,1471,1020,33,473,9,10,230,46
여성,도매업,24739,6886,1422,6292,516,718,617,836,62,741,711,678,916,931,1649,355,1159,250,23512,6509,1376,5827,511,666,593,706,68,675,676,727,931,895,1614,334,1151,253,22699,6220,1249,5600,477,649,563,751,67,597,687,709,916,892,1543,353,1157,269,22365,5982,1292,5513,457,642,594,789,76,628,663,685,921,857,1521,336,1147,262,20165,5093,1179,5299,455,552,506,696,90,618,609,650,756,819,1277,320,1009,237
여성,소매업,101340,20509,5820,23751,2915,3287,3103,3786,301,3591,4325,3487,4954,5029,6856,2312,6065,1249,103829,20306,5981,24632,2944,3436,3096,4064,356,3678,4731,3878,4926,4950,6938,2491,6224,1198,101160,19365,5673,24172,2798,3158,2809,3798,416,3474,4399,3501,4935,5029,7361,2397,6544,1331,106757,21337,6060,26215,2705,3085,3061,4013,510,3483,4471,3609,5358,4845,7460,2374,6867,1304,104134,20815,6385,27940,2536,2933,2912,3753,612,3291,3774,3071,4937,4608,6841,2290,6177,1259
여성,부동산매매업,1228,208,98,371,31,26,37,44,3,25,41,20,62,45,102,29,65,21,1395,244,97,426,29,37,28,68,12,33,38,9,78,62,85,44,76,29,1362,266,79,387,31,20,35,43,17,26,44,20,104,54,90,44,70,32,1783,369,124,577,31,39,47,61,20,27,28,24,147,54,83,44,80,28,2289,427,136,802,38,57,44,89,21,51,60,29,142,70,145,44,104,30
여성,건설업,14687,2673,915,3997,480,380,541,653,42,378,626,531,570,800,786,284,809,222,13902,2477,831,3884,453,317,442,654,33,337,551,458,480,727,816,315,882,245,13891,2286,862,3910,504,356,473,664,58,388,525,443,453,757,818,318,837,239,13609,2102,904,3810,492,339,494,611,57,341,553,510,509,707,761,282,877,260,12534,1900,826,3713,424,315,445,537,55,337,557,432,460,625,626,258,754,270
여성,음식업,100647,15878,5496,21855,4168,3102,4010,4591,359,3096,3481,4064,4546,6375,6509,2853,8331,1933,98124,14961,5253,21481,4077,2996,3842,4580,454,3159,3477,4224,4331,6355,6168,2819,8049,1898,94439,14105,4940,20518,4133,2876,3652,4614,475,2994,3469,3970,4137,6228,5972,2604,7803,1949,92489,13531,4794,20429,3877,2737,3667,4637,518,2876,3469,3801,4272,5963,5744,2638,7604,1932,78792,11616,4091,17485,3222,2454,3049,3784,482,2456,2925,3257,3452,4965,5002,2250,6535,1767
여성,숙박업,3893,414,167,573,281,88,137,250,5,78,157,179,114,317,347,103,443,240,3801,394,172,529,330,82,112,261,6,85,147,149,104,325,318,114,391,282,3747,418,159,539,361,87,91,231,4,89,139,153,110,286,246,76,377,381,3585,452,151,531,311,69,118,289,4,70,138,156,101,230,236,62,367,300,3395,487,141,540,295,75,109,227,9,47,110,152,85,225,201,71,344,277
여성,운수·창고·통신업,8961,1218,552,2117,168,252,310,408,32,294,388,529,429,570,823,247,508,116,8902,1305,585,2190,169,260,318,363,33,279,360,469,390,500,839,213,539,90,8707,1151,521,2176,175,253,301,336,30,294,364,450,381,558,863,190,554,110,8950,1237,568,2240,157,279,271,382,28,332,345,458,379,507,911,201,543,112,8214,1070,507,2117,184,253,256,330,25,311,324,430,356,440,786,224,484,117
여성,부동산임대업,54316,16873,3276,16228,1273,1201,1071,1330,650,1051,880,808,1574,1522,3086,643,2088,762,55268,15643,3496,19095,1011,1028,1121,1337,597,856,864,717,1451,1409,3009,605,2179,850,57618,14143,4040,23053,1440,971,940,1482,719,884,753,847,1278,1000,2692,505,1964,907,61383,14041,6551,23923,1171,1384,823,1365,433,820,839,976,1435,945,3308,648,1722,999,76956,18199,7855,26474,1518,1760,1274,2214,582,1385,1394,1418,2089,1303,4899,789,2908,895
여성,대리·중개·도급업,9072,2277,484,2297,116,333,224,311,15,304,191,147,544,213,817,264,486,49,8909,2269,429,2240,113,304,202,278,16,311,199,221,554,243,743,255,486,46,9580,2352,516,2409,140,361,232,299,26,305,253,250,594,264,741,273,521,44,9731,2268,589,2500,111,331,248,329,41,318,227,208,611,276,836,280,510,48,8317,1885,401,2327,116,309,227,250,32,264,230,200,465,227,679,211,452,42
여성,서비스업,76993,18186,4695,20276,1932,2485,1964,2463,401,2469,2199,1807,3321,3020,4715,1851,4502,707,80374,18691,4722,21419,1949,2592,2076,2684,527,2572,2248,1908,3427,3206,4936,1817,4763,837,83204,18916,4947,22759,1916,2644,2214,2741,585,2515,2370,1917,3586,3292,5051,1924,4892,935,86043,19459,5255,23967,2053,2547,2190,2878,647,2553,2413,2055,3722,3197,5043,1945,5140,979,80723,18101,4824,23926,1848,2359,2093,2709,652,2352,2188,1868,3253,2905,4495,1700,4492,958
